Date,stocks,gold,bonds,property
2012-04-11,137.0000,161.0700,110.1300,61.6800
2012-04-12,138.7900,162.7000,110.0200,62.5300
2012-04-13,137.1400,160.8500,110.3600,62.2700
2012-04-16,137.0500,160.4600,110.3800,63.1200
2012-04-17,139.0800,160.2500,110.4000,63.6600
2012-04-18,138.6100,159.3100,110.5400,63.2300
2012-04-19,137.7200,159.4300,110.4600,63.2300
2012-04-20,137.9500,159.5400,110.4800,64.0000
2012-04-23,136.7900,159.0700,110.5900,63.3400
2012-04-24,137.3100,159.3000,110.4300,64.2900
2012-04-25,139.1900,159.6200,110.4800,65.0300
2012-04-26,140.1600,161.0300,110.6500,65.1900
2012-04-27,140.3900,161.3800,110.6400,65.6400
2012-04-30,139.8700,161.8800,110.6000,65.4700
2012-05-01,140.7400,161.3200,110.3300,66.1800
2012-05-02,140.3200,160.5900,110.4400,66.0800
2012-05-03,139.2500,158.9700,110.5600,65.8500
2012-05-04,137.0000,159.4700,110.6700,65.2700
2012-05-07,137.1000,159.0800,110.7100,65.7300
2012-05-08,136.5500,156.0000,110.7900,65.6100
2012-05-09,135.7400,154.4700,110.8200,65.4000
2012-05-10,136.0200,154.7700,110.7100,65.4500
2012-05-11,135.6100,153.5600,110.7900,65.5900
2012-05-14,134.1100,151.3300,111.0400,64.7600
2012-05-15,133.3400,149.7400,110.9800,64.4200
2012-05-16,132.8300,149.4600,110.9600,63.7100
2012-05-17,130.8600,152.8000,111.0300,61.8500
2012-05-18,129.7400,154.5500,111.0000,61.1000
2012-05-21,131.9700,154.6500,110.9800,62.4300
2012-05-22,132.2000,152.0800,110.7100,62.5500
2012-05-23,132.2700,151.6200,110.8400,62.6400
2012-05-24,132.5300,151.4100,110.7500,62.9200
2012-05-25,132.1000,152.6800,110.9200,62.6700
2012-05-29,133.7000,151.0200,110.8600,63.5600
2012-05-30,131.7600,151.9100,111.2300,62.0500
2012-05-31,131.4700,151.6200,111.5600,62.5200
2012-06-01,128.1600,157.5000,111.6000,60.9900
2012-06-04,128.1000,157.3200,111.3400,60.5700
2012-06-05,129.0700,157.1400,111.1100,61.8200
2012-06-06,131.9700,157.2100,110.7800,63.1900
2012-06-07,132.0500,154.5000,110.9500,62.7400
2012-06-08,133.1000,154.7300,110.9000,63.6300
2012-06-11,131.4100,155.3600,111.0000,62.2000
2012-06-12,132.9200,156.4600,110.9100,62.7900
2012-06-13,132.0700,157.1200,111.2000,62.4700
2012-06-14,133.4700,157.7500,111.1200,63.3800
2012-06-15,134.1400,157.8400,111.3800,63.7700
2012-06-18,134.4000,157.9300,111.3500,64.3000
2012-06-19,135.7000,157.1600,111.2200,64.5600
2012-06-20,135.4800,155.9700,111.0500,64.5300
2012-06-21,132.4400,152.0200,111.2000,63.4800
2012-06-22,133.4600,152.6400,111.0400,63.4900
2012-06-25,131.3200,153.7600,111.3900,62.6500
2012-06-26,131.9800,152.6200,111.2700,62.8600
2012-06-27,133.1700,152.8300,111.3200,63.1100
2012-06-28,132.7900,151.0500,111.4500,63.8000
2012-06-29,136.1000,155.1900,111.3000,65.4300
2012-07-02,136.5100,155.0900,111.2900,66.1500
2012-07-03,137.4100,157.4600,111.2100,66.5400
2012-07-05,136.7900,155.6800,111.5000,66.1300
2012-07-06,135.4900,153.7100,111.5800,66.2900
2012-07-09,135.3200,154.0400,111.8000,66.3600
2012-07-10,134.1400,152.1500,111.8500,65.6500
2012-07-11,134.1600,152.9900,111.8400,65.7200
2012-07-12,133.5100,152.5900,112.0400,65.9200
2012-07-13,135.7500,154.1400,112.0800,66.7300
2012-07-16,135.4300,154.2100,112.1700,66.8600
2012-07-17,136.3600,153.4700,112.1300,67.5000
2012-07-18,137.3700,153.0500,112.3500,67.1000
2012-07-19,137.7300,153.3800,112.2600,66.4000
2012-07-20,136.4700,153.6700,112.4200,66.0500
2012-07-23,135.0900,153.0300,112.5200,65.5700
2012-07-24,133.9300,153.5200,112.6600,65.3500
2012-07-25,133.9600,155.6700,112.7000,65.3200
2012-07-26,136.1700,156.7700,112.6300,65.9000
2012-07-27,138.6800,157.5400,112.2900,66.5300
2012-07-30,138.6800,157.4300,112.4800,66.8400
2012-07-31,137.7100,156.4900,112.5900,66.7400
2012-08-01,137.5900,155.1400,112.2400,66.4200
2012-08-02,136.6400,154.1300,112.2600,66.6100
2012-08-03,139.3500,155.5500,111.9900,67.1300
2012-08-06,139.6200,156.3000,112.1600,67.0600
2012-08-07,140.3200,156.2800,111.8600,66.2700
2012-08-08,140.4900,156.4800,111.7200,65.8200
2012-08-09,140.6100,156.9900,111.6900,65.6100
2012-08-10,140.8400,157.1800,111.8700,65.7000
2012-08-13,140.7700,155.9900,111.8600,65.6500
2012-08-14,140.7900,155.1300,111.6000,65.5100
2012-08-15,140.9500,155.6300,111.2400,65.8100
2012-08-16,141.9900,156.5600,111.1000,66.3100
2012-08-17,142.1800,156.7200,111.2300,66.3300
2012-08-20,142.1900,157.2600,111.1900,66.1400
2012-08-21,141.7600,158.8300,111.3400,66.2800
2012-08-22,141.8200,160.5400,111.8200,66.2400
2012-08-23,140.6600,161.8900,111.9000,66.0400
2012-08-24,141.5100,161.9700,111.8200,66.2600
2012-08-27,141.5400,161.3600,111.9700,66.4600
2012-08-28,141.4000,161.6400,112.0600,66.6900
2012-08-29,141.5100,160.5900,111.9500,66.6700
2012-08-30,140.4900,160.5200,112.0200,66.5200
2012-08-31,141.1600,164.2200,112.3700,66.7300
2012-09-04,141.0300,164.4800,112.1300,67.2000
2012-09-05,140.9100,164.3100,112.1300,67.0800
2012-09-06,143.7700,164.8900,111.8700,67.6800
2012-09-07,144.3300,168.4400,111.8900,67.7400
2012-09-10,143.5100,167.2900,111.9100,67.2100
2012-09-11,143.9100,167.9000,111.7800,67.4100
2012-09-12,144.3900,167.9200,111.5700,67.5500
2012-09-13,146.5900,171.3100,111.8300,68.3800
2012-09-14,147.2400,171.8000,111.3700,68.7600
2012-09-17,146.7400,170.4000,111.5500,68.5600
2012-09-18,146.6200,171.7200,111.6200,67.9100
2012-09-19,146.7000,171.7400,111.8400,67.5300
2012-09-20,146.7100,171.4700,111.7700,66.5300
2012-09-21,145.8700,171.9600,111.9500,66.5400
2012-09-24,145.6500,171.0500,112.0700,65.7700
2012-09-25,144.1000,170.7700,112.2500,64.8000
2012-09-26,143.2900,169.8100,112.3600,64.7900
2012-09-27,144.6400,172.3400,112.2900,65.0700
2012-09-28,143.9700,171.8900,112.4500,64.9700
2012-10-01,144.3500,172.2900,112.2000,64.4900
2012-10-02,144.5000,172.1000,112.2900,64.9800
2012-10-03,145.0900,172.4100,112.2500,65.1100
2012-10-04,146.1300,173.6100,112.0900,65.0900
2012-10-05,146.1400,172.6200,111.8600,65.1700
2012-10-08,145.6400,172.0500,112.0300,65.0300
2012-10-09,144.2000,170.9900,111.9100,64.7900
2012-10-10,143.2800,170.8400,112.0900,65.0500
2012-10-11,143.3600,171.3200,112.2300,65.0000
2012-10-12,142.8900,170.0600,112.3200,64.7700
